IATA_code,ICAO_code,AIRPORT_NAME
AAA,NTGA,Anaa Airport
AAB,YARY,Arrabury Airport
AAC,HEAR,El Arish International Airport
AAD,,Adado Airport
AAE,DABB,Rabah Bitat Airport (Les Salines Airport)
AAF,KAAF,Apalachicola Regional Airport
AAG,SSYA,Arapoti Airport
AAH,EDKA,Merzbrück Airport
AAI,SWRA,Arraias Airport
AAJ,SMCA,Cayana Airstrip
AAK,NGUK,Aranuka Airport
AAL,EKYT,Aalborg Airport
AAM,FAMD,Mala Mala Airport
AAN,OMAL,Al Ain International Airport
AAO,SVAN,Anaco Airport
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport
AAQ,URKA,Anapa Airport
AAR,EKAH,Aarhus Airport
AAS,,Apalapsili Airport
AAT,ZWAT,Altay Airport
AAU,NSAU,Asau Airport
AAV,RPMA,Allah Valley Airport
AAX,SBAX,Araxá Airport
AAY,OYGD,Al Ghaydah Airport
AAZ,MGQZ,Quetzaltenango Airport
ABA,UNAA,Abakan International Airport
ABB,DNAS,Asaba International Airport
ABC,LEAB,Albacete Airport
ABD,OIAA,Abadan International Airport
ABE,KABE,Lehigh Valley International Airport
ABF,NGAB,Abaiang Atoll Airport
ABG,YABI,Abingdon Airport
ABH,YAPH,Alpha Airport
ABI,KABI,Abilene Regional Airport
ABJ,DIAP,Port Bouet Airport (Felix Houphouet Boigny Int'l)
ABK,HAKD,Kabri Dar Airport
ABL,PAFM,Ambler Airport (FAA: AFM)
ABM,YNPE,Northern Peninsula Airport
ABN,SMBN,Albina Airstrip
ABO,DIAO,Aboisso Airport
ABP,,Atkamba Airport
ABQ,KABQ,Albuquerque International Sunport
ABR,KABR,Aberdeen Regional Airport
ABS,HEBL,Abu Simbel Airport
ABT,OEBA,Al-Baha Domestic Airport
ABU,WATA,Haliwen Airport
ABV,DNAA,Nnamdi Azikiwe International Airport
ABW,,Abau Airport
ABX,YMAY,Albury Airport
ABY,KABY,Southwest Georgia Regional Airport
ABZ,EGPD,Aberdeen Airport
ACA,MMAA,General Juan N. Álvarez International Airport
ACB,KACB,Antrim County Airport
ACC,DGAA,Kotoka International Airport
ACD,SKAD,Alcides Fernández Airport
ACE,GCRR,Lanzarote Airport
ACH,LSZR,St. Gallen–Altenrhein Airport
ACI,EGJA,Alderney Airport
ACJ,VCCA,Anuradhapura Airport
ACK,KACK,Nantucket Memorial Airport
ACL,,Aguaclara Airport
ACM,,Arica Airport
ACN,MMCC,Ciudad Acuña International Airport
ACP,OITM,Sahand Airport
ACR,SKAC,Araracuara Airport
ACS,UNKS,Achinsk Airport
ACT,KACT,Waco Regional Airport
ACU,,Achutupo Airport
ACV,KACV,Arcata-Eureka Airport
ACX,ZUYI,Xingyi Wanfenglin Airport
ACY,KACY,Atlantic City International Airport
ACZ,OIZB,Zabol Airport
ADA,LTAF,Adana Şakirpaşa Airport
ADB,LTBJ,Adnan Menderes Airport
ADC,AYAN,Andakombe Airport
ADD,HAAB,Bole International Airport
ADE,OYAA,Aden International Airport
ADF,LTCP,Adıyaman Airport
ADG,KADG,Lenawee County Airport
ADH,UEEA,Aldan Airport
ADI,FYAR,Arandis Airport
ADJ,OJAM,Amman Civil Airport (Marka International Airport)
ADK,PADK,Adak Airport
ADL,YPAD,Adelaide Airport
ADM,KADM,Ardmore Municipal Airport
ADN,SKAN,Andes Airport
ADO,YAMK,Andamooka Airport
ADP,VCCG,Ampara Airport
ADQ,PADQ,Kodiak Airport
ADR,KPHH,Robert F. Swinnie Airport (FAA: PHH)
ADS,KADS,Addison Airport
ADT,KADH,Ada Municipal Airport (FAA: ADH)
ADU,OITL,Ardabil Airport
ADV,,Ed Daein Airport
ADW,KADW,Andrews Field (Andrews Air Force Base)
ADX,EGQL,RAF Leuchars
ADY,FAAL,Alldays Airport
ADZ,SKSP,Gustavo Rojas Pinilla International Airport
AEA,NGTB,Abemama Atoll Airport
AEB,ZGBS,Baise Bama Airport
AEE,,Adareil Airport[1]
AEG,WIME,Aek Godang Airport
AEH,FTTC,Abéché Airport
AEK,AYAX,Aseki Airport
AEL,KAEL,Albert Lea Municipal Airport
AEM,UHTG,Amgu Airport
AEO,GQNA,Aioun el Atrouss Airport
AEP,SABE,Jorge Newbery Airpark
AEQ,,Ar Horqin Airport
AER,URSS,Sochi International Airport
AES,ENAL,"Ålesund Airport, Vigra"
AET,PFAL,Allakaket Airport (FAA: 6A8)
AEU,OIBA,Abu Musa Airport[1]
AEX,KAEX,Alexandria International Airport
AEY,BIAR,Akureyri Airport
AFA,SAMR,San Rafael Airport
AFD,FAPA,Port Alfred Airport
AFF,KAFF,United States Air Force Academy Airfield
AFI,SKAM,Amalfi Airport
AFK,,Kondavattavan Tank Seaplane Base[1]
AFL,SBAT,Alta Floresta Airport
AFN,KAFN,Jaffrey Airport–Silver Ranch
AFO,KAFO,Afton Municipal Airport
AFR,AYAF,Afore Airport
AFS,UTSN,Zarafshan Airport
AFT,AGAF,Afutara Airport
AFW,KAFW,Fort Worth Alliance Airport
AFY,LTAH,Afyon Airport
AFZ,OIMS,Sabzevar Airport[1]
AGA,GMAD,Agadir–Al Massira Airport
AGB,EDMA,Augsburg Airport
AGC,KAGC,Allegheny County Airport
AGD,WASG,Anggi Airport
AGE,EDWG,Wangerooge Airfield
AGF,LFBA,Agen La Garenne Airport
AGG,,Angoram Airport
AGH,ESTA,Ängelholm–Helsingborg Airport (former ICAO: ESDB)
AGI,SMWA,Wageningen Airstrip
AGJ,RORA,Aguni Airport
AGK,,Kagua Airport
AGL,AYWG,Wanigela Airport
AGN,PAGN,Angoon Seaplane Base
AGO,KAGO,Magnolia Municipal Airport
AGP,LEMG,Málaga Airport
AGQ,LGAG,Agrinion Airport
AGR,VIAG,Agra Airport
AGS,KAGS,Augusta Regional Airport at Bush Field
AGT,SGES,Guaraní International Airport
AGU,MMAS,Lic. Jesús Terán Peredo International Airport
AGV,SVAC,Oswaldo Guevara Mujica Airport
AGW,,Agnew Airport
AGX,VOAT,Agatti Aerodrome
AGZ,FAAG,Aggeneys Airport
AHB,OEAB,Abha Regional Airport
AHC,KAHC,Amedee Army Airfield
AHD,,Ardmore Downtown Executive Airport (FAA: 1F0)
AHE,NTHE,Ahe Airport
AHF,,Arapahoe Municipal Airport (FAA: 37V)
AHH,KAHH,Amery Municipal Airport
AHI,WAPA,Amahai Airport
AHJ,ZUHY,Hongyuan Airport
AHL,SYAH,Aishalton Airport
AHM,,Ashland Municipal Airport[1] (FAA: S03)
AHN,KAHN,Athens Ben Epps Airport
AHO,LIEA,Alghero-Fertilia Airport
AHS,MHAH,Ahuas Airport
AHU,GMTA,Cherif Al Idrissi Airport
AHW,,Saih Rawl Airport[1]
AHY,,Ambatolahy Airport
AHZ,LFHU,Alpe d'Huez Airport
AIA,KAIA,Alliance Municipal Airport
AIC,,Ailinglaplap Airok Airport
AID,KAID,Anderson Municipal Airport (Darlington Field)
AIE,AYAO,Aiome Airport
AIF,SNAX,Assis Airport (former ICAO: SBAS)
AIG,FEFY,Yalinga Airport
AIH,AYAK,Aiambak Airport
AII,HDAS,Ali-Sabieh Airport
AIK,KAIK,Aiken Municipal Airport
AIL,,Ailigandí Airport
AIM,,Ailuk Airport
AIN,PAWI,Wainwright Airport (FAA: AWI)
AIO,KAIO,Atlantic Municipal Airport
AIR,SSOU,Aripuanã Airport
AIS,NGTR,Arorae Island Airport
AIT,NCAI,Aitutaki Airport
AIU,NCAT,Enua Airport
AIV,KAIV,George Downer Airport
AIW,,Ai-Ais Airport
AIY,KAIY,Atlantic City Municipal Airport (Bader Field) (closed 2006)
AIZ,KAIZ,Lee C. Fine Memorial Airport
AJA,LFKJ,Ajaccio Napoleon Bonaparte Airport
AJF,OESK,Al-Jawf Domestic Airport
AJI,LTCO,Ağrı Airport
AJJ,GQNJ,Akjoujt Airport
AJK,OIHR,Arak Airport[1]
AJL,VELP[2],Lengpui Airport
AJN,FMCV,Ouani Airport
AJR,ESNX,Arvidsjaur Airport
AJS,,Punta Abreojos Airstrip
AJU,SBAR,Santa Maria Airport
AJY,DRZA,Mano Dayak International Airport
AKA,ZLAK,Ankang Wulipu Airport
AKB,PAAK,Atka Airport (FAA: AKA)
AKC,KAKR,Akron Fulton International Airport (FAA: AKR)
AKD,VAAK,Akola Airport
AKE,FOGA,Akieni Airport
AKF,HLKF,Kufra Airport
AKG,AYGU,Anguganak Airport
AKH,OEPS,Prince Sultan Air Base
AKI,PFAK,Akiak Airport
AKJ,RJEC,Asahikawa Airport
AKK,PAKH,Akhiok Airport
AKL,NZAA,Auckland Airport
AKM,,Zakouma Airport
AKN,PAKN,King Salmon Airport
AKO,KAKO,Colorado Plains Regional Airport
AKP,PAKP,Anaktuvuk Pass Airport
AKQ,WIAG,Gunung Batin Airport
AKR,DNAK,Akure Airport
AKS,AGGA,Auki Gwaunaru'u Airport
AKT,LCRA,RAF Akrotiri
AKU,ZWAK,Aksu Airport
AKV,CYKO,Akulivik Airport
AKW,OIAG,Aghajari Airport[1]
AKX,UATT,Aktobe Airport
AKY,VYSW,Sittwe Airport
ALA,UAAA,Almaty International Airport
ALB,KALB,Albany International Airport
ALC,LEAL,Alicante–Elche Airport
ALD,SPAR,Alerta Airport
ALE,,Alpine–Casparis Municipal Airport (FAA: E38)
ALF,ENAT,Alta Airport
ALG,DAAG,Houari Boumediene Airport
ALH,YABA,Albany Airport
ALI,KALI,Alice International Airport
ALJ,FAAB,Alexander Bay Airport
ALK,,Asella Airport
ALL,LIMG,Albenga Airport
ALM,KALM,Alamogordo–White Sands Regional Airport
ALN,KALN,St. Louis Regional Airport
ALO,KALO,Waterloo Regional Airport
ALP,OSAP,Aleppo International Airport
ALQ,SSLT,Alegrete Airport
ALR,NZLX,Alexandra Aerodrome
ALS,KALS,San Luis Valley Regional Airport
ALT,,Alenquer Airport
ALU,HCMA,Alula Airport
ALW,KALW,Walla Walla Regional Airport
ALX,KALX,Thomas C. Russell Field
ALY,HEAX,El Nouzha Airport
ALZ,,Alitak Seaplane Base
AMA,KAMA,Rick Husband Amarillo International Airport
AMB,FMNE,Ambilobe Airport
AMC,FTTN,Am Timan Airport
AMD,VAAH,Sardar Vallabhbhai Patel International Airport
AME,,Alto Molocue Airport
AMF,AYAA,Ama Airport
AMG,,Amboin Airport
AMH,HAAM,Arba Minch Airport
AMI,WADA,Selaparang Airport (closed 2011)
AMJ,SNAR,Almenara Airport
AMK,,Animas Air Park (FAA: 00C)
AML,,Puerto Armuelles Airport
AMM,OJAI,Queen Alia International Airport
AMN,KAMN,Gratiot Community Airport
AMO,FTTU,Mao Airport
AMP,FMSY,Ampanihy Airport
AMQ,WAPP,Pattimura Airport
AMS,EHAM,Amsterdam Airport Schiphol
AMT,YAMT,Amata Airport
AMU,AYAM,Amanab Airport
AMV,ULDD,Amderma Airport
AMW,KAMW,Ames Municipal Airport
AMX,,Ammaroo Airport
AMY,,Ambatomainty Airport
AMZ,NZAR,Ardmore Airport
ANA,,Angama Airstrip
ANB,KANB,Anniston Regional Airport
ANC,PANC,Ted Stevens Anchorage International Airport
AND,KAND,Anderson Regional Airport
